sport,date,time,competition,home_team,away_team,venue,referee,scraped_date,age_id
Male Football,Friday July 4,19:30,Minor FL Div 1,St Sylvesters,Kilmacud Crokes,Broomfield,Ian Howley,2025-07-04,3337
Male Football,Friday July 4,19:30,Minor FL Div 2,Castleknock,Whitehall Colmcille,Somerton Park,Pat Murphy,2025-07-04,3337
Male Football,Friday July 4,18:30,Minor FL Div 3 North,St Maurs,Round Towers Lusk,Rush,TBC,2025-07-04,3337
Male Football,Friday July 4,19:30,Minor FL Div 3 North,Naomh Mearnog,Scoil Ui Chonaill,Portmarnock,Derek Greene,2025-07-04,3337
Male Football,Friday July 4,19:30,Minor FL Div 5 North,Fingallians,Skerries Harps,Balheary,Vinny Whelan,2025-07-04,3337
Male Football,Friday July 4,19:30,Minor FL Div 5 South,St Kevin-Killians,Ranelagh Gaels,Kingswood,Gerry McGeough,2025-07-04,3337
Male Football,Friday July 4,19:30,Minor FL Div 6 South,Wanderers,Shankill / Stars of Erin,Frank Kelly Park,Adam  Doyle,2025-07-04,3337
Male Football,Friday July 4,19:45,Go Ahead Ireland AFL Div 1,Ballyboden St Endas,Ballymun Kickhams,Pairc Ui Murchu,Seamus Farrelly,2025-07-04,3315
Male Football,Friday July 4,19:30,Go Ahead Ireland AFL Div 1,Fingal Ravens,Kilmacud Crokes,Rolestown,Barry Tiernan,2025-07-04,3315
Male Football,Friday July 4,19:15,Go Ahead Ireland AFL Div 2,Naomh Fionnbarra,Kilmacud Crokes,Pope John Paul ll Park,Ian Howley,2025-07-04,3315
Male Football,Friday July 4,19:30,Go Ahead Ireland AFL Div 2,Templeogue Synge Street,Naomh Mearnog,Dolphin Park,N/A,2025-07-04,3315
Male Football,Friday July 4,19:30,Go Ahead Ireland AFL Div 3,Ballyboughal,Trinity Gaels,Ballyboughal,P J Murray,2025-07-04,3315
Male Football,Friday July 4,19:45,Go Ahead Ireland AFL Div 3,St Maurs,St Patricks (P),Rush,David Sweeney,2025-07-04,3315
Male Football,Friday July 4,19:30,Go Ahead Ireland AFL Div 11A,Ballyfermot Gaels,Ranelagh Gaels,The Gaels,N/A,2025-07-04,3315
Male Football,Friday July 4,19:30,Go Ahead Ireland AFL Div 11A,Beann Eadair,Cabinteely,Pairc Ui Ruairc,Chris Nolan,2025-07-04,3315
Male Football,Friday July 4,19:30,Go Ahead Ireland AFL Div 11A,Castleknock,Clanna Gael-Fontenoy,Somerton Park,Des Molloy,2025-07-04,3315
Male Football,Friday July 4,19:30,Go Ahead Ireland AFL Div 11A,Scoil Ui Chonaill,Na Gaeil Aeracha,Clontarf Road,Dermot Deasy,2025-07-04,3315
Male Football,Friday July 4,19:30,Go Ahead Ireland AFL Div 11A,St Marys S,St James Gaels An Caislean,Saggart,Caoimhín Bermingham,2025-07-04,3315
Male Football,Friday July 4,19:30,Go Ahead Ireland AFL Div 11A,St Oliver Plunkett ER,St Maurs,Martin Savage Park,Paul Harte,2025-07-04,3315
Male Football,Friday July 4,19:30,U14 Football D Phase Two Gp.A,Ballinteer St Johns,Garda Westmanstown Gaels,Marlay Pk,Senan Finucane Templeogue Synge Street,2025-07-04,3327
